q0-d1	BAI
q0-d2	BAI
q0-d3	BAI
q0-d4	BAI
q0-d5	BAI
q0-d6	BAI
q1-d1	BAI
q1-d2	EZ
q1-d3	BAI
q1-d4	EZ-EGOKIA
q1-d5	BAI
q1-d6	BAI
q2-d1	EZ-EGOKIA
q2-d2	EZ
q2-d3	BAI
q2-d4	BAI
q2-d5	BAI
q2-d6	EZ-EGOKIA
q3-d1	EZ-EGOKIA
q3-d2	BAI
q3-d3	BAI
q3-d4	BAI
q3-d5	BAI
q3-d6	BAI
q4-d1	BAI
q4-d2	BAI
q4-d3	BAI
q4-d4	BAI
q4-d5	EZ
q4-d6	BAI
q5-d1	BAI
q5-d2	BAI
q5-d3	EZ-EGOKIA
q5-d4	BAI
q5-d5	BAI
q5-d6	BAI
q6-d1	BAI
q6-d2	BAI
q6-d3	BAI
q6-d4	EZ-EGOKIA
q6-d5	EZ-EGOKIA
q6-d6	EZ-EGOKIA
q7-d1	BAI
q7-d2	BAI
q7-d3	EZ-EGOKIA
q7-d4	EZ-EGOKIA
q7-d5	EZ-EGOKIA
q7-d6	EZ-EGOKIA
q8-d1	BAI
q8-d2	BAI
q8-d3	BAI
q8-d4	BAI
q8-d5	BAI
q8-d6	BAI
q9-d1	EZ-EGOKIA
q9-d2	EZ-EGOKIA
q9-d3	BAI
q9-d4	BAI
q9-d5	BAI
q9-d6	BAI
q10-d1	BAI
q10-d2	BAI
q10-d3	BAI
q10-d4	BAI
q10-d5	EZ-EGOKIA
q10-d6	EZ-EGOKIA
q11-d1	BAI
q11-d2	EZ-EGOKIA
q11-d3	BAI
q11-d4	BAI
q11-d5	EZ-EGOKIA
q11-d6	EZ-EGOKIA
q12-d1	BAI
q12-d2	BAI
q12-d3	BAI
q12-d4	BAI
q12-d5	BAI
q12-d6	BAI
q13-d1	EZ-EGOKIA
q13-d2	EZ-EGOKIA
q13-d3	BAI
q13-d4	BAI
q13-d5	BAI
q13-d6	BAI
q14-d1	EZ-EGOKIA
q14-d2	BAI
q14-d3	EZ-EGOKIA
q14-d4	EZ-EGOKIA
q14-d5	EZ-EGOKIA
q14-d6	EZ-EGOKIA
q15-d1	BAI
q15-d2	BAI
q15-d3	EZ-EGOKIA
q15-d4	BAI
q15-d5	BAI
q15-d6	BAI
q16-d1	EZ-EGOKIA
q16-d2	EZ-EGOKIA
q16-d3	EZ-EGOKIA
q16-d4	EZ-EGOKIA
q16-d5	EZ-EGOKIA
q16-d6	EZ-EGOKIA
q17-d1	EZ-EGOKIA
q17-d2	EZ-EGOKIA
q17-d3	EZ-EGOKIA
q17-d4	EZ-EGOKIA
q17-d5	EZ-EGOKIA
q17-d6	EZ-EGOKIA
q18-d1	BAI
q18-d2	BAI
q18-d3	EZ-EGOKIA
q18-d4	EZ-EGOKIA
q18-d5	BAI
q18-d6	EZ-EGOKIA
q19-d1	EZ-EGOKIA
q19-d2	EZ-EGOKIA
q19-d3	EZ-EGOKIA
q19-d4	BAI
q19-d5	BAI
q19-d6	BAI

